,STABBR,PREDDEG,CONTROL,ADM_RATE_ALL,SAT_AVG_ALL,UGDS,NPT4_PUB,NPT4_PRIV,C150_4,PCTFLOAN,PCTPELL,labels
3833,TX,3,1,0.7508,1045.0,31005.0,14104.0,18259.0,0.5737,0.5201,0.3453,0
3834,TX,3,2,0.5392,949.0,715.0,8792.0,18102.0,0.3824,0.6212,0.4579,1
3835,TX,2,2,0.7167,1048.0,169.0,8792.0,6461.0,0.46545000000000003,0.5583,0.7184,1
3836,TX,3,1,0.522,865.0,2000.0,11064.0,18259.0,0.2851,0.5858,0.6055,0
3837,TX,3,1,0.5682,984.0,11328.0,14978.0,18259.0,0.4336,0.5557,0.4114,0
3838,TX,2,1,0.7167,1048.0,43464.0,5983.0,18259.0,0.46545000000000003,0.2465,0.3666,3
3839,TX,2,1,0.7167,1048.0,5292.0,7194.0,18259.0,0.46545000000000003,0.491,0.7977,0
3840,TX,3,1,0.7167,1048.0,10.0,8792.0,18259.0,0.46545000000000003,0.0909,0.0606,3
3841,TX,3,1,0.7167,1048.0,793.0,8792.0,18259.0,0.46545000000000003,0.5946,0.2766,0
3842,TX,3,1,0.7167,1048.0,725.0,8792.0,18259.0,0.46545000000000003,0.5547,0.2589,0
3843,TX,2,1,0.7167,1048.0,3699.0,8104.0,18259.0,0.46545000000000003,0.6388,0.5822,0
3844,TX,1,1,0.7167,1048.0,2884.0,8707.0,18259.0,0.46545000000000003,0.1545,0.4282,3
3845,TX,3,1,0.881,895.0,9400.0,11845.0,18259.0,0.341,0.7603,0.5427,0
